"Year","Lon","Lat","County"
2020,-0.22149,52.09049,"Central Bedfordshire"
2020,-2.59537,52.01955,"Herefordshire, County of"
2020,0.81764,51.39011,"Kent"
2020,-0.51303,52.75161,"Lincolnshire"
2020,0.10749,53.28046,"Lincolnshire"
2020,-1.65698,53.0482,"Derbyshire"
2020,-2.34322,51.27374,"Somerset"
2020,-0.21765,52.37564,"Cambridgeshire"
2020,-2.02729,53.048,"Staffordshire"
2020,-1.38083,53.83127,"Leeds"
2020,-2.52695,55.08544,"Northumberland"
2020,-1.73708,52.27772,"Warwickshire"
2020,0.61248,52.39308,"Suffolk"
2020,1.36458,52.69793,"Norfolk"
2020,-0.9363,52.87445,"Leicestershire"
2020,-1.63915,51.6179,"Oxfordshire"
2020,1.18452,52.55585,"Norfolk"
2020,-0.41358,52.19181,"Bedford"
2020,-0.96578,51.20608,"Hampshire"
2020,-1.54044,52.75832,"Leicestershire"
2020,-0.80449,51.93622,"Buckinghamshire"
2020,-1.43328,54.35242,"North Yorkshire"
2020,-1.14891,51.57725,"Oxfordshire"
2020,-1.10082,53.54548,"Doncaster"
2020,-1.2938,50.86299,"Hampshire"
2020,-0.16437,51.40797,"Greater London"
2020,-1.86265,54.20167,"North Yorkshire"
2020,-1.78323,54.37882,"North Yorkshire"
2020,0.11859,52.41652,"Cambridgeshire"
2020,0.62225,51.96676,"Essex"
2020,0.87278,52.76777,"Norfolk"
2020,-0.51357,52.62188,"Northamptonshire"
2020,-1.42502,52.32903,"Warwickshire"
2020,-2.29143,52.27997,"Worcestershire"
2020,-0.72804,51.28409,"Surrey"
2020,-1.65951,52.84757,"Staffordshire"
2020,-0.22159,52.25595,"Cambridgeshire"
2020,0.59047,51.62342,"Essex"
2020,0.17007,52.37567,"Cambridgeshire"
2020,-1.84329,52.45872,"Birmingham"
2020,-1.98682,53.62154,"Kirklees"
2020,-2.89873,55.4184,"Scottish Borders"
2020,-0.25976,51.68614,"Hertfordshire"
2020,-1.49096,51.68431,"Oxfordshire"
2020,-1.0694,53.15221,"Nottinghamshire"
2020,-1.61913,52.96372,"Derbyshire"
2020,0.54873,52.24133,"Suffolk"
2020,-3.57637,54.47542,"Cumbria"
2020,0.3113,52.5471,"Norfolk"
2020,-1.75855,53.64441,"Kirklees"
2020,-1.06003,50.92068,"Hampshire"
2020,-1.11079,51.54314,"Oxfordshire"
2020,-0.5914,53.00157,"Lincolnshire"
2020,-1.85273,55.4663,"Northumberland"
2020,-1.38775,51.49572,"West Berkshire"
2020,-1.10784,54.37254,"North Yorkshire"
2020,-1.96431,53.35156,"Derbyshire"
2020,-1.00078,52.39859,"Northamptonshire"
2020,-0.75143,51.70928,"Buckinghamshire"
2020,0.41983,51.17675,"Kent"
2020,-1.68836,53.95619,"North Yorkshire"
2020,-1.20293,53.79279,"North Yorkshire"
2020,-0.58718,51.52007,"Slough"
2020,-2.00164,53.61425,"Kirklees"
2020,-0.85024,51.52923,"Windsor and Maidenhead"
2020,-2.87295,51.36777,"North Somerset"
2020,-0.72004,53.18735,"Lincolnshire"
2020,-0.89151,53.14561,"Nottinghamshire"
2020,-2.29286,52.03963,"Worcestershire"
2020,-0.81757,52.18393,"Northamptonshire"
2020,-0.74395,53.83325,"East Riding of Yorkshire"
2020,-1.68218,51.45605,"Wiltshire"
2020,-0.39821,51.8666,"Hertfordshire"
2020,-2.32775,51.25538,"Somerset"
2020,-1.69251,50.96223,"Wiltshire"
2020,-0.67046,53.46769,"Lincolnshire"
2020,-1.31675,53.84833,"North Yorkshire"
2020,-0.90241,51.26386,"Hampshire"
2020,-0.10641,53.7224,"East Riding of Yorkshire"
2020,-0.94713,53.14068,"Nottinghamshire"
2020,-1.5063,52.44438,"Coventry"
2020,-2.78903,52.28456,"Herefordshire, County of"
2020,-1.20912,50.97635,"Hampshire"
2020,-1.27898,51.01846,"Hampshire"
2020,-0.70131,51.65844,"Buckinghamshire"
2020,-1.01009,51.185,"Hampshire"
2020,0.14995,52.64806,"Cambridgeshire"
2020,-0.36125,50.91986,"West Sussex"
2020,-1.67844,54.51781,"North Yorkshire"
2020,-2.35881,51.68476,"Gloucestershire"
2020,-2.32622,53.88976,"Lancashire"
2020,0.8453,51.16196,"Kent"
2020,-0.34278,51.66672,"Hertfordshire"
2020,-1.29765,51.52004,"West Berkshire"
2020,-2.08613,51.12648,"Wiltshire"
2020,-1.16722,52.32013,"Northamptonshire"
2020,-3.51538,50.48948,"Torbay"
